ASN,Name,enable,action
15557,--- I3Dnet ---,TRUE,managed_challenge
56694,--------/W-IX/--------,TRUE,managed_challenge
399955,"-Reserved AS-, ZZ",TRUE,managed_challenge
18710,"-Reserved AS-, ZZ",TRUE,managed_challenge
47521,.GR IpDomain,TRUE,managed_challenge
197695,"""Domain names registrar REG.RU"", Ltd",TRUE,managed_challenge
49352,"""Domain names registrar REG.RU"", Ltd",TRUE,managed_challenge
206812,"""Domain names registrar REG.RU"", Ltd",TRUE,managed_challenge
197226,"""SPRINT"" S.A.",TRUE,managed_challenge
16371,"(Spain) Hosting, housing and VPN services",TRUE,managed_challenge
28855,\=== Customers ===,TRUE,managed_challenge
198171,\===== UPSTREAM connectivity =====,TRUE,managed_challenge
16097,04107 Leipzig,TRUE,managed_challenge
36943,1 GRID (PTY) LTD,TRUE,managed_challenge
8881,1&1 Versatel Deutschland GmbH,TRUE,managed_challenge
12129,"123.Net, Inc.",TRUE,managed_challenge
393398,"1515 ROUNDTABLE DR PROPERTY, LLC",TRUE,managed_challenge
40028,1651884 Ontario Inc.,TRUE,managed_challenge
8553,180 Attercliffe Road,TRUE,managed_challenge
135581,"19 Chun Wang Street, Tseung Kwan O Industrial Estate, N.T. Hong Kong",TRUE,managed_challenge
44925,1984 ehf,TRUE,managed_challenge
44569,1api GmbH,TRUE,managed_challenge
48254,20i Limited,TRUE,managed_challenge
47447,23M GmbH,TRUE,managed_challenge
30836,23VNet Kft.,TRUE,managed_challenge
55081,24 SHELLS,TRUE,managed_challenge
58931,24.hk global BGP,TRUE,managed_challenge
8362,245 Boulevard de Tournai,TRUE,managed_challenge
132420,"282, Sector 19",TRUE,managed_challenge
41357,34SP.com Limited,TRUE,managed_challenge
140068,360 Internet Inc,TRUE,managed_challenge
266444,3L CLOUD INTERNET SERVICES LTDA - EPP,TRUE,managed_challenge
198710,3U TELECOM GmbH,TRUE,managed_challenge
60144,3W Infra B.V.,TRUE,managed_challenge
56067,453 Ladplacout Jorakhaebua,TRUE,managed_challenge
8990,4iG Telecommunications Holding Zrt,TRUE,managed_challenge
24446,5G NETWORK OPERATIONS PTY LTD,TRUE,managed_challenge
63956,5G NETWORK OPERATIONS PTY LTD,TRUE,managed_challenge
55303,"60 Market Square,P.O. Box 364",TRUE,managed_challenge
8708,73-75 Dr. Staicovici,TRUE,managed_challenge
20102,"a la mode, inc.",TRUE,managed_challenge
8717,A1 Bulgaria EAD,TRUE,managed_challenge
8447,A1 Telekom Austria AG,TRUE,managed_challenge
1901,A1 Telekom Austria AG,TRUE,managed_challenge
55293,"A2 Hosting, Inc.",TRUE,managed_challenge
51088,A2B IP B.V.,TRUE,managed_challenge
2764,AAPT Limited,TRUE,managed_challenge
39287,ab stract ltd,TRUE,managed_challenge
42572,abaton EDV-Dienstleistungs GmbH,TRUE,managed_challenge
62763,"AbbVie, Inc.",TRUE,managed_challenge
133201,ABCDE GROUP,TRUE,managed_challenge
38661,abcle,TRUE,managed_challenge
204196,Abelohost BV,TRUE,managed_challenge
